cycle_number,edge_number,node_from,node_to,osm_id,expected_segment_id,edge_exists_in_graph,length,name,highway
1,1,36312629,36312626,5200500,5200500_36312626_36312629,True,53.295,Dawson Road,residential
1,2,36312626,1721900447,5200488,5200488_1721900447_36312626,True,215.916,Eastfields,residential
1,3,1721900447,9613517963,5200488,5200488_1721900447_9613517963,True,44.948,Eastfields,residential
1,4,9613517963,1721900447,5200488,5200488_1721900447_9613517963,True,44.948,Eastfields,residential
1,5,1721900447,1721900569,160118220,160118220_1721900447_1721900569,True,9.575,,residential
1,6,1721900569,1721900447,160118220,160118220_1721900447_1721900569,True,9.575,,residential
1,7,1721900447,36312626,5200488,5200488_1721900447_36312626,True,215.916,Eastfields,residential
1,8,36312626,36312629,5200500,5200500_36312626_36312629,True,53.295,Dawson Road,residential
1,9,36312629,36312628,5200500,5200500_36312628_36312629,True,64.245,Dawson Road,residential
1,10,36312628,36312629,5200500,5200500_36312628_36312629,True,64.245,Dawson Road,residential
1,11,36312629,36312631,"[5200499, 5200493]","[5200499, 5200493]_36312629_36312631",True,180.82,"['Bolton Road', 'Baldwin Terrace']",residential
1,12,36312631,36312628,37972208,37972208_36312628_36312631,True,109.323,Archer Road,residential
1,13,36312628,36312622,5200500,5200500_36312622_36312628,True,71.073,Dawson Road,residential
1,14,36312622,36312617,5200485,5200485_36312617_36312622,True,111.851,Linden Crescent,residential
1,15,36312617,36312615,5200485,5200485_36312615_36312617,True,117.464,Linden Crescent,residential
1,16,36312615,33072170,5057626,5057626_33072170_36312615,True,98.51100000000001,Canterbury Road,tertiary
1,17,33072170,1353645488,4985874,4985874_1353645488_33072170,True,15.015,Black Bull Road,trunk
1,18,1353645488,33072222,5042998,5042998_1353645488_33072222,True,141.169,Downs Road,residential
1,19,33072222,33202908,4999392,4999392_33072222_33202908,True,373.08899999999994,Dolphins Road,residential
1,20,33202908,33072122,4999393,4999393_33072122_33202908,True,149.321,Wingate Road,residential
1,21,33072122,445844415,4985871,4985871_33072122_445844415,True,14.51,Canterbury Road,trunk
1,22,445844415,33628393,4985871,4985871_33628393_445844415,True,49.004,Canterbury Road,trunk
1,23,33628393,33072159,4985871,4985871_33072159_33628393,True,76.649,Canterbury Road,trunk
1,24,33072159,60078106,4985871,4985871_33072159_60078106,True,51.07,Canterbury Road,trunk
1,25,60078106,216245344,4985871,4985871_216245344_60078106,True,45.11600000000001,Canterbury Road,trunk
1,26,216245344,60078109,20349464,20349464_216245344_60078109,True,138.04000000000002,Invicta Road,residential
1,27,60078109,36312615,20349465,20349465_36312615_60078109,True,139.0,Marshall Street,residential
1,28,36312615,1169788649,5057626,5057626_1169788649_36312615,True,47.078,Canterbury Road,tertiary
1,29,1169788649,535440918,5057626,5057626_1169788649_535440918,True,43.879,Canterbury Road,tertiary
1,30,535440918,36312632,5057626,5057626_36312632_535440918,True,18.515,Canterbury Road,tertiary
1,31,36312632,33203237,5057626,5057626_33203237_36312632,True,38.186,Canterbury Road,tertiary
1,32,33203237,446006881,5044304,5044304_33203237_446006881,True,67.695,Sidney Street,residential
1,33,446006881,33762907,5044304,5044304_33762907_446006881,True,245.81,Sidney Street,residential
1,34,33762907,33628394,5032658,5032658_33628394_33762907,True,8.391,Joyes Road,tertiary
1,35,33628394,33762907,5032658,5032658_33628394_33762907,True,8.391,Joyes Road,tertiary
1,36,33762907,446006881,5044304,5044304_33762907_446006881,True,245.81,Sidney Street,residential
1,37,446006881,33203237,5044304,5044304_33203237_446006881,True,67.695,Sidney Street,residential
1,38,33203237,36312632,5057626,5057626_33203237_36312632,True,38.186,Canterbury Road,tertiary
1,39,36312632,36312631,37972208,37972208_36312631_36312632,True,150.212,Archer Road,residential
1,40,36312631,36312628,37972208,37972208_36312628_36312631,True,109.323,Archer Road,residential
1,41,36312628,446006868,5200491,5200491_36312628_446006868,True,66.256,Shepway Close,residential
1,42,446006868,36312628,5200491,5200491_36312628_446006868,True,66.256,Shepway Close,residential
1,43,36312628,36312629,5200500,5200500_36312628_36312629,True,64.245,Dawson Road,residential
2,1,36312629,36312626,5200500,5200500_36312626_36312629,True,53.295,Dawson Road,residential
2,2,36312626,446006879,5200488,5200488_36312626_446006879,True,76.408,Eastfields,residential
2,3,446006879,446006878,37972210,37972210_446006878_446006879,True,34.968,Brambledown,residential
2,4,446006878,446006876,37972209,37972209_446006876_446006878,True,17.834,Brambledown,residential
2,5,446006876,446006878,37972209,37972209_446006876_446006878,True,17.834,Brambledown,residential
2,6,446006878,446006877,37972209,37972209_446006877_446006878,True,20.551000000000002,Brambledown,residential
2,7,446006877,446006878,37972209,37972209_446006877_446006878,True,20.551000000000002,Brambledown,residential
2,8,446006878,446006879,37972210,37972210_446006878_446006879,True,34.968,Brambledown,residential
2,9,446006879,1768318824,"[5200488, 42813705]","[5200488, 42813705]_1768318824_446006879",True,81.794,"['Peto Close', 'Eastfields']",residential
2,10,1768318824,446006879,"[5200488, 42813705]","[5200488, 42813705]_1768318824_446006879",True,81.794,"['Peto Close', 'Eastfields']",residential
2,11,446006879,1768318824,"[5200488, 42813705]","[5200488, 42813705]_1768318824_446006879",True,81.794,"['Peto Close', 'Eastfields']",residential
2,12,1768318824,1768318823,165276041,165276041_1768318823_1768318824,True,9.479,Peto Close,residential
2,13,1768318823,1768318824,165276041,165276041_1768318823_1768318824,True,9.479,Peto Close,residential
