segment_id,osm_id,node_u,node_v,name,road_type,length,has_geometry
1221729713_174778805_2063026231,1221729713,174778805,2063026231,Bridges Road,primary,77.411,True
1293396903_174778805_11265816234,1293396903,174778805,11265816234,Bridges Road,primary,16.466,True
329227971_174778805_3360641419,329227971,174778805,3360641419,Burke Street,residential,17.756,True
255164744_174778835_1843667444,255164744,174778835,1843667444,Bridges Road,primary,279.447,True
446614031_174778835_1843667476,446614031,174778835,1843667476,Saint James Road,secondary,92.84899999999999,True
569034005_174778835_2608920684,569034005,174778835,2608920684,Bridges Road,primary,82.878,True
"[688568545, 655889606]_174778835_1843667451","[688568545, 655889606]",174778835,1843667451,Saint James Road,secondary,182.298,True
573325161_174778835_285923886,573325161,174778835,285923886,Bridges Road,primary,79.02000000000001,True
415483038_174778963_1453639332,415483038,174778963,1453639332,Kullaiba Road,unclassified,11.423,True
415483035_174778963_1926352191,415483035,174778963,1926352191,Northcott Drive,primary,105.732,True
731235026_174778963_1453639318,731235026,174778963,1453639318,Northcott Drive,primary,8.162,True
26056155_174778963_2658893207,26056155,174778963,2658893207,Kullaiba Road,unclassified,161.101,True
410253247_174779068_1436939673,410253247,174779068,1436939673,Glebe Road,secondary,111.844,True
174082015_174779068_355013052,174082015,174779068,355013052,Date Street,residential,203.076,True
174082015_174779068_285732077,174082015,174779068,285732077,Date Street,residential,117.323,True
410253247_174779068_272224405,410253247,174779068,272224405,Glebe Road,secondary,109.518,True
573325152_174794320_337354143,573325152,174794320,337354143,Lambton Road,primary,32.102,True
688558168_174794320_337354167,688558168,174794320,337354167,Brown Road,unclassified,121.788,True
255022918_176399672_903719287,255022918,176399672,903719287,Noel Avenue,residential,10.462,True
"[580178241, 132079389]_176399672_903719325","[580178241, 132079389]",176399672,903719325,Park Avenue,secondary,73.10300000000001,True
255022918_176399672_418606411,255022918,176399672,418606411,Noel Avenue,residential,51.966,True
"[530744666, 918532435]_176399672_246011243","[530744666, 918532435]",176399672,246011243,Park Avenue,secondary,38.328,True
200856336_176399696_8562026835,200856336,176399696,8562026835,Brisbane Water Road,residential,23.944000000000003,True
"[530744664, 530744665, 918532438]_176399696_246011243","[530744664, 530744665, 918532438]",176399696,246011243,Park Avenue,secondary,122.697,True
580178234_176399696_8528284074,580178234,176399696,8528284074,Park Avenue,secondary,35.988,True
918532442_176399696_8530772748,918532442,176399696,8530772748,Park Avenue,secondary,46.337999999999994,True
254775210_176399746_419517731,254775210,176399746,419517731,Fletcher Street,residential,28.285999999999998,True
"[415483008, 919009095]_176399746_8534733867","[415483008, 919009095]",176399746,8534733867,Park Avenue,secondary,375.61500000000007,True
"[918257319, 918532443, 918562735]_176399746_8530772748","[918257319, 918532443, 918562735]",176399746,8530772748,Park Avenue,secondary,122.92599999999999,True
"[918532444, 918532439, 580178231]_176399746_903719290","[918532444, 918532439, 580178231]",176399746,903719290,Park Avenue,secondary,76.491,True
173175124_285732058_285732212,173175124,285732058,285732212,Fletcher Street,residential,84.388,True
130457256_176399846_1843667522,130457256,176399846,1843667522,Park Avenue,secondary,150.052,True
130457258_176399846_285732092,130457258,176399846,285732092,Park Avenue,secondary,75.241,True
130457261_176399846_285732089,130457261,176399846,285732089,Victoria Street,residential,37.144999999999996,True
573325146_246010907_1839861538,573325146,246010907,1839861538,Young Road,tertiary_link,13.139,True
"[573325147, 688597060, 782048683]_246010907_1843582800","[573325147, 688597060, 782048683]",246010907,1843582800,Turton Road,primary,266.307,True
822222312_246010907_285923275,822222312,246010907,285923275,Young Road,tertiary,131.569,True
"[784818801, 750977444, 750977445, 750977446]_246010907_1839861547","[784818801, 750977444, 750977445, 750977446]",246010907,1839861547,Turton Road,primary,233.328,True
"[918532436, 918532437]_246011243_903719287","[918532436, 918532437]",246011243,903719287,Park Avenue,secondary,37.501999999999995,True
36093938_249343640_2659075988,36093938,249343640,2659075988,Lexington Parade,secondary,9.919,True
"[418259558, 332229918]_249343640_284966533","[418259558, 332229918]",249343640,284966533,Park Avenue,secondary,145.996,True
457819681_249343640_2833593903,457819681,249343640,2833593903,Lexington Parade,secondary,57.705,True
"[1376958404, 1376958405, 419698285]_249343640_903719337","[1376958404, 1376958405, 419698285]",249343640,903719337,Park Avenue,secondary,300.942,True
570218656_249344236_2678502916,570218656,249344236,2678502916,Russell Road,primary,25.651,True
791465727_249344236_2678502918,791465727,249344236,2678502918,Lookout Road,trunk,19.984,True
200701578_272221403_272223115,200701578,272221403,272223115,Lockyer Street,residential,339.146,True
675793851_272221403_272225716,675793851,272221403,272225716,Brunker Road,secondary,163.844,True
"[675793851, 173159988]_272221403_285907336","[675793851, 173159988]",272221403,285907336,Brunker Road,secondary,254.483,True
200526840_272223115_272223174,200526840,272223115,272223174,Bryant Street,residential,68.404,True
200526840_272223115_1848248256,200526840,272223115,1848248256,Bryant Street,residential,161.68800000000002,True
"[34109880, 34109882, 200526840, 34109879]_272223174_272223174","[34109880, 34109882, 200526840, 34109879]",272223174,272223174,"['Drew Street', 'Hope Street', 'Richard Street', 'Bryant Street']",residential,475.1859999999999,True
"[200526840, 34109882, 34109880, 34109879]_272223174_272223174","[200526840, 34109882, 34109880, 34109879]",272223174,272223174,"['Drew Street', 'Bryant Street', 'Richard Street', 'Hope Street']",residential,475.186,True
446614997_272223869_272225486,446614997,272223869,272225486,Glebe Road,secondary,110.892,True
446614997_272223869_1839861628,446614997,272223869,1839861628,Glebe Road,secondary,110.867,True
25027095_272223869_2474738239,25027095,272223869,2474738239,Belmore Street,residential,116.62299999999999,True
61405537_272224402_286119551,61405537,272224402,286119551,Brunker Road,secondary,31.366,True
61405537_272224402_286119794,61405537,272224402,286119794,Brunker Road,secondary,128.815,True
173160027_272224402_286119087,173160027,272224402,286119087,Mandalong Road,residential,52.725,True
61405537_272224404_286119437,61405537,272224404,286119437,Brunker Road,secondary,94.111,True
25027989_272224404_769203760,25027989,272224404,769203760,Olney Road,residential,107.80699999999999,True
61405537_272224404_286119551,61405537,272224404,286119551,Brunker Road,secondary,267.45799999999997,True
417741680_272224405_285732088,417741680,272224405,285732088,Glebe Road,secondary,116.994,True
675793851_272224405_272225716,675793851,272224405,272225716,Brunker Road,secondary,117.44,True
"[61405537, 1211512458]_272224405_286119437","[61405537, 1211512458]",272224405,286119437,Brunker Road,secondary,101.453,True
712131971_272225716_285732077,712131971,272225716,285732077,Victoria Street,residential,111.234,True
"[1319583434, 712131970]_272225716_285732087","[1319583434, 712131970]",272225716,285732087,Victoria Street,residential,116.44699999999999,True
235918157_276839788_276839791,235918157,276839788,276839791,Birdwood Street,residential,55.31,True
173175033_276839788_1840020259,173175033,276839788,1840020259,Freeman Street,residential,80.47999999999999,True
235918157_276839788_276839790,235918157,276839788,276839790,Birdwood Street,residential,77.937,True
235918157_276839789_276839790,235918157,276839789,276839790,Birdwood Street,residential,12.383,True
"[173175138, 688597077]_276839789_7095701989","[173175138, 688597077]",276839789,7095701989,Carnley Avenue,secondary,216.674,True
235918157_276839789_285923927,235918157,276839789,285923927,Birdwood Street,residential,93.723,True
"[173175138, 1221729708]_276839789_8975857811","[173175138, 1221729708]",276839789,8975857811,Carnley Avenue,secondary,260.818,True
"[969953696, 173175109]_276839790_2643520648","[969953696, 173175109]",276839790,2643520648,Carnley Avenue,secondary,283.25100000000003,True
969953695_276839790_2676461913,969953695,276839790,2676461913,Carnley Avenue,secondary,216.74200000000002,True
173175000_276839791_12446969783,173175000,276839791,12446969783,Ann Parade,residential,291.65099999999995,True
"[244673314, 235918157]_276839791_1840020279","[244673314, 235918157]",276839791,1840020279,"['Allan Street', 'Birdwood Street']",residential,229.35299999999998,True
415483043_276839881_6144518511,415483043,276839881,6144518511,Orchardtown Road,residential,50.321,True
173174963_276839881_1840020292,173174963,276839881,1840020292,Orchardtown Road,residential,83.096,True
173175099_276839881_1840020291,173175099,276839881,1840020291,Meredith Street,residential,220.058,True
415483043_276839882_6144518497,415483043,276839882,6144518497,Orchardtown Road,residential,72.727,True
415483043_276839882_6144518511,415483043,276839882,6144518511,Orchardtown Road,residential,8.837,True
173175081_276839882_1840020279,173175081,276839882,1840020279,Woodlands Avenue,residential,175.112,True
173175083_276839898_1840020257,173175083,276839898,1840020257,Aldyth Street,residential,55.12,True
655868219_276839898_1840020266,655868219,276839898,1840020266,Fay Avenue,residential,57.468,True
173175083_276839898_1840020278,173175083,276839898,1840020278,Aldyth Street,residential,153.756,True
655868219_276839898_6144518497,655868219,276839898,6144518497,Fay Avenue,residential,208.55200000000002,True
418259545_284966224_286118933,418259545,284966224,286118933,Saint James Road,secondary,53.368,True
