cycle_number,edge_number,node_from,node_to,osm_id,expected_segment_id,edge_exists_in_graph,length,name,highway
1,1,346176330,346176290,31133078,31133078_346176290_346176330,True,63.72,Ford Close,residential
1,2,346176290,346176292,31133077,31133077_346176290_346176292,True,64.882,Endeavour Street,residential
1,3,346176292,346176290,31133077,31133077_346176290_346176292,True,64.882,Endeavour Street,residential
1,4,346176290,346176330,31133078,31133078_346176290_346176330,True,63.72,Ford Close,residential
1,5,346176330,346176341,31133080,31133080_346176330_346176341,True,21.478,Ford Close,residential
1,6,346176341,346176330,31133080,31133080_346176330_346176341,True,21.478,Ford Close,residential
1,7,346176330,346176304,31133078,31133078_346176304_346176330,True,57.453,Ford Close,residential
1,8,346176304,346176330,31133078,31133078_346176304_346176330,True,57.453,Ford Close,residential
1,9,346176330,346176290,31133078,31133078_346176290_346176330,True,63.72,Ford Close,residential
1,10,346176290,6272833061,31133077,31133077_346176290_6272833061,True,185.923,Endeavour Street,residential
1,11,6272833061,346176273,31133077,31133077_346176273_6272833061,True,65.937,Endeavour Street,residential
1,12,346176273,346176270,31133077,31133077_346176270_346176273,True,102.07,Endeavour Street,residential
1,13,346176270,346176268,31133077,31133077_346176268_346176270,True,105.543,Endeavour Street,residential
1,14,346176268,346174690,31133077,31133077_346174690_346176268,True,77.85799999999999,Endeavour Street,residential
1,15,346174690,346174575,31132970,31132970_346174575_346174690,True,75.62700000000001,Alexandra Avenue,secondary
1,16,346174575,346174572,31132964,31132964_346174572_346174575,True,19.246000000000002,,secondary
1,17,346174572,346176265,31132966,31132966_346174572_346176265,True,75.45700000000001,Alexandra Avenue,secondary
1,18,346176265,346174637,31132966,31132966_346174637_346176265,True,302.91999999999996,Alexandra Avenue,secondary
1,19,346174637,346174687,31132977,31132977_346174637_346174687,True,12.43,Vindin Street,residential
1,20,346174687,346174682,31132970,31132970_346174682_346174687,True,105.54299999999999,Alexandra Avenue,secondary
1,21,346174682,346174640,31132975,31132975_346174640_346174682,True,13.062,Scott Street,residential
1,22,346174640,346174637,31132966,31132966_346174637_346174640,True,104.81,Alexandra Avenue,secondary
1,23,346174637,346174781,31132977,31132977_346174637_346174781,True,91.83099999999999,Vindin Street,residential
1,24,346174781,346174625,31132980,31132980_346174625_346174781,True,368.672,Third Avenue,residential
1,25,346174625,346174616,31132965,31132965_346174616_346174625,True,83.051,Aberglasslyn Road,secondary
1,26,346174616,346174609,31132965,31132965_346174609_346174616,True,143.441,Aberglasslyn Road,secondary
1,27,346174609,346191736,31132965,31132965_346174609_346191736,True,101.852,Aberglasslyn Road,secondary
