cycle_number,edge_number,node_from,node_to,osm_id,expected_segment_id,edge_exists_in_graph,length,name,highway
1,1,1840020321,1840020315,"[263596288, 461776404]","[263596288, 461776404]_1840020315_1840020321",True,237.296,Grinsell Street,residential
1,2,1840020315,1840020308,173175031,173175031_1840020308_1840020315,True,335.097,March Street,residential
1,3,1840020308,1840020315,173175031,173175031_1840020308_1840020315,True,335.097,March Street,residential
1,4,1840020315,1840020314,461776404,461776404_1840020314_1840020315,True,33.918,Grinsell Street,residential
1,5,1840020314,1840020315,461776404,461776404_1840020314_1840020315,True,33.918,Grinsell Street,residential
1,6,1840020315,1840020321,"[263596288, 461776404]","[263596288, 461776404]_1840020315_1840020321",True,237.296,Grinsell Street,residential
1,7,1840020321,1840020320,263596288,263596288_1840020320_1840020321,True,50.346999999999994,Grinsell Street,residential
1,8,1840020320,1840020321,263596288,263596288_1840020320_1840020321,True,50.346999999999994,Grinsell Street,residential
1,9,1840020321,2692226738,451824980,451824980_1840020321_2692226738,True,56.743,Kotara Place,residential
1,10,2692226738,1840020320,263596300,263596300_1840020320_2692226738,True,55.17,Kotara Place,residential
1,11,1840020320,1843843609,263596289,263596289_1840020320_1843843609,True,232.512,Grinsell Street,residential
1,12,1843843609,1843843618,263596289,263596289_1843843609_1843843618,True,272.37,Grinsell Street,residential
1,13,1843843618,276839863,279114965,279114965_1843843618_276839863,True,62.965,Grinsell Street,residential
1,14,276839863,1869447615,"[415483048, 674457450]","[415483048, 674457450]_1869447615_276839863",True,649.838,Carnley Avenue,secondary
1,15,1869447615,276839863,"[415483048, 674457450]","[415483048, 674457450]_1869447615_276839863",True,649.838,Carnley Avenue,secondary
1,16,276839863,1843843618,279114965,279114965_1843843618_276839863,True,62.965,Grinsell Street,residential
1,17,1843843618,1843843609,263596289,263596289_1843843609_1843843618,True,272.37,Grinsell Street,residential
1,18,1843843609,2692226674,446496256,446496256_1843843609_2692226674,True,26.705000000000002,Gregory Parade,residential
1,19,2692226674,2692226442,263596298,263596298_2692226442_2692226674,True,83.917,Kotara Place,residential
1,20,2692226442,2692226738,263596314,263596314_2692226442_2692226738,True,169.946,Kotara Place,residential
1,21,2692226738,1840020321,451824980,451824980_1840020321_2692226738,True,56.743,Kotara Place,residential
2,1,1840020321,2692226738,451824980,451824980_1840020321_2692226738,True,56.743,Kotara Place,residential
