Edge_ID,Street_Name,Start_Node,End_Node,Length_m,Total_Appearances,Cycle_1,Cycle_2,Cycle_3,Cycle_4,Cycle_5,Cycle_6,Cycle_7,Cycle_8,Cycle_9,Cycle_10,Cycle_11,Cycle_12,Cycle_13,Cycle_14,Cycle_15,Cycle_16,Cycle_17,Cycle_18,Cycle_19,Cycle_20,Cycle_21,Cycle_22,Cycle_23,Cycle_24,Cycle_25,Cycle_26,Cycle_27,Cycle_28,Cycle_29,Cycle_30,Cycle_31,Cycle_32,Cycle_33,Cycle_34,Cycle_35,Cycle_36,Cycle_37,Cycle_38,Cycle_39,Cycle_40,Cycle_41,Cycle_42,Cycle_43,Cycle_44,Cycle_45,Cycle_46,Cycle_47,Cycle_48,Cycle_49,Cycle_50,Cycle_51,Cycle_52,Cycle_53,Cycle_54,Cycle_55,Cycle_56,Cycle_57,Cycle_58,Cycle_59,Cycle_60,Cycle_61,Cycle_62,Cycle_63,Cycle_64,Cycle_65,Cycle_66,Cycle_67,Cycle_68,Cycle_69,Cycle_70,Cycle_71,Cycle_72,Cycle_73,Cycle_74,Cycle_75,Cycle_76,Cycle_77,Cycle_78,Cycle_79,Cycle_80,Cycle_81,Cycle_82,Cycle_83,Cycle_84,Cycle_85,Cycle_86,Cycle_87,Cycle_88,Cycle_89,Cycle_90,Cycle_91,Cycle_92,Cycle_93,Cycle_94,Cycle_95,Cycle_96,Cycle_97,Cycle_98,Cycle_99,Cycle_100,Cycle_101,Cycle_102,Cycle_103,Cycle_104,Cycle_105,Cycle_106,Cycle_107,Cycle_108,Cycle_109,Cycle_110,Cycle_111,Cycle_112,Cycle_113,Cycle_114,Cycle_115,Cycle_116,Cycle_117,Cycle_118,Cycle_119,Cycle_120,Cycle_121,Cycle_122,Cycle_123,Cycle_124,Cycle_125
285923886-1843667466,Queens Road,285923886,1843667466,62.2,203,2,1,1,2,2,2,2,0,2,2,0,1,0,0,2,0,2,2,1,2,2,1,2,2,2,2,0,2,2,2,2,2,1,0,2,2,2,0,2,2,2,2,2,2,1,2,2,2,0,2,2,2,0,0,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
174778835-285923886,Bridges Road,174778835,285923886,79.0,155,1,1,0,2,0,2,2,0,1,0,0,1,0,0,0,0,2,2,1,2,2,0,2,2,2,1,0,2,2,2,1,2,0,0,2,2,0,0,0,2,2,2,2,2,1,2,2,0,0,2,2,2,0,0,2,2,2,0,0,2,2,2,0,2,2,2,0,0,2,0,2,2,2,2,2,0,2,2,0,2,0,2,2,2,2,0,0,2,0,0,2,2,2,0,1,0,0,2,2,0,2,0,2,0,2,2,0,2,2,2,2,0,2,0,2,2,2,2,2,2,2,0,2,2,2
174778835-1843667444,Bridges Road,174778835,1843667444,279.4,38,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
286118915-1843667444,Longworth Avenue,286118915,1843667444,121.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286118915-286119557,Longworth Avenue,286118915,286119557,9.5,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286119396-286119557,Lille Street,286119396,286119557,175.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286119396-2063026294,Sketchley Parade,286119396,2063026294,102.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286118961-2063026294,Sketchley Parade,286118961,2063026294,43.6,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286118961-2063026286,Jellicoe Parade,286118961,2063026286,104.6,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1839861589-2063026286,Jellicoe Parade,1839861589,2063026286,104.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285923598-1839861589,Jellicoe Parade / Russell Road,285923598,1839861589,285.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285923598-285923803,Russell Road,285923598,285923803,74.8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
