route_id,route_name,total_segments,segments_with_geometry,segments_without_geometry,total_length_m,will_visualize
212,Route 1 from Ford,46,46,0,3957.8119999999994,True
213,Route 2 from Ford,55,55,0,3789.9189999999994,True
214,Route 3 from Ford,42,42,0,3874.2809999999995,True
215,Route 4 from Ford,38,38,0,3882.0040000000004,True
216,Route 5 from Ford,47,47,0,3939.4020000000005,True
217,Route 6 from Ford,44,44,0,3428.4020000000005,True
218,Route 7 from Ford,50,50,0,3952.367999999999,True
219,Route 8 from Ford,35,35,0,3764.386,True
220,Route 9 from Ford,45,45,0,3938.903999999999,True
221,Route 10 from Ford,35,35,0,3978.7539999999995,True
222,Route 11 from Ford,43,43,0,3987.9279999999994,True
223,Route 12 from Ford,43,43,0,3935.738,True
224,Route 13 from Ford,48,48,0,3969.631999999999,True
225,Route 14 from Ford,46,46,0,3550.8519999999994,True
226,Route 15 from Ford,30,30,0,3852.2949999999996,True
227,Route 16 from Ford,33,33,0,3867.373,True
228,Route 17 from Ford,40,40,0,3853.725999999999,True
229,Route 18 from Ford,41,41,0,3959.415999999999,True
230,Route 19 from Ford,45,45,0,3981.7999999999997,True
231,Route 20 from Ford,46,46,0,3915.5929999999994,True
232,Route 21 from Ford,57,57,0,3820.685,True
233,Route 22 from Ford,37,37,0,3768.0010000000007,True
234,Route 23 from Ford,41,41,0,3702.4869999999996,True
235,Route 24 from Ford,41,41,0,3863.1119999999987,True
236,Route 25 from Ford,42,42,0,3999.006999999999,True
237,Route 26 from Ford,40,40,0,3881.074,True
238,Route 27 from Ford,41,41,0,3851.0659999999993,True
239,Route 28 from Ford,40,40,0,3859.573,True
240,Route 29 from Ford,38,38,0,3970.8439999999996,True
241,Route 30 from Ford,39,39,0,3557.2099999999996,True
242,Route 31 from Ford,44,44,0,3946.0669999999996,True
243,Route 32 from Ford,43,43,0,3969.1469999999995,True
244,Route 33 from Ford,41,41,0,3974.945,True
245,Route 34 from Ford,29,29,0,3634.7909999999997,True
246,Route 35 from Ford,42,42,0,3880.9329999999995,True
247,Route 36 from Ford,37,37,0,3742.7720000000004,True
248,Route 37 from Ford,30,30,0,3971.998,True
249,Route 38 from Ford,30,30,0,3936.744,True
250,Route 39 from Ford,32,32,0,3925.842,True
251,Route 40 from Ford,38,38,0,3797.0499999999997,True
252,Route 41 from Ford,42,42,0,3999.2059999999988,True
253,Route 42 from Ford,32,32,0,3801.144,True
254,Route 43 from Ford,41,41,0,3810.664,True
255,Route 44 from Ford,42,42,0,3813.4680000000003,True
256,Route 45 from Ford,42,42,0,3840.0879999999993,True
257,Route 46 from Ford,38,38,0,3893.6,True
258,Route 47 from Ford,43,43,0,3908.265,True
259,Route 48 from Ford,41,41,0,3983.4779999999996,True
260,Route 49 from Ford,44,44,0,3986.85,True
