route_id,route_name,total_segments,segments_with_geometry,segments_without_geometry,total_length_m,will_visualize
126,Route 1 from Grinsell,21,21,0,3965.3979999999992,True
127,Route 2 from Grinsell,32,32,0,3598.2959999999994,True
128,Route 3 from Grinsell,30,30,0,3997.904,True
129,Route 4 from Grinsell,30,30,0,3981.3879999999995,True
130,Route 5 from Grinsell,36,36,0,3899.02,True
131,Route 6 from Grinsell,14,14,0,3319.7800000000007,True
132,Route 7 from Grinsell,36,36,0,3931.5700000000006,True
133,Route 8 from Grinsell,35,35,0,3712.217,True
134,Route 9 from Grinsell,44,44,0,3919.142000000001,True
135,Route 10 from Grinsell,21,21,0,3633.885,True
136,Route 11 from Grinsell,30,30,0,3997.095000000001,True
137,Route 12 from Grinsell,28,28,0,3904.023000000001,True
138,Route 13 from Grinsell,33,33,0,3939.827,True
139,Route 14 from Grinsell,37,37,0,3829.4190000000003,True
140,Route 15 from Grinsell,29,29,0,3807.9739999999997,True
141,Route 16 from Grinsell,38,38,0,3832.19,True
142,Route 17 from Grinsell,23,23,0,3678.5379999999996,True
143,Route 18 from Grinsell,25,25,0,3969.586999999999,True
144,Route 19 from Grinsell,43,43,0,3947.7080000000005,True
145,Route 20 from Grinsell,18,18,0,3412.9680000000008,True
146,Route 21 from Grinsell,28,28,0,3953.588000000001,True
147,Route 22 from Grinsell,37,37,0,3999.2539999999995,True
148,Route 23 from Grinsell,32,32,0,3813.6239999999993,True
149,Route 24 from Grinsell,29,29,0,3956.2360000000003,True
150,Route 25 from Grinsell,32,32,0,3908.0839999999994,True
151,Route 26 from Grinsell,26,26,0,3796.624,True
152,Route 27 from Grinsell,32,32,0,3808.805999999999,True
153,Route 28 from Grinsell,25,25,0,3831.8019999999997,True
154,Route 29 from Grinsell,37,37,0,3988.532,True
155,Route 30 from Grinsell,25,25,0,3877.5009999999997,True
156,Route 31 from Grinsell,24,24,0,3918.234000000001,True
157,Route 32 from Grinsell,40,40,0,3952.5960000000005,True
158,Route 33 from Grinsell,28,28,0,3962.262,True
159,Route 34 from Grinsell,36,36,0,3966.6639999999998,True
160,Route 35 from Grinsell,33,33,0,3968.404,True
