route_id,route_name,total_segments,segments_with_geometry,segments_without_geometry,total_length_m,will_visualize
363,Route 1 from Grinsell3,36,36,0,3997.4740000000006,True
364,Route 2 from Grinsell3,21,21,0,3853.6749999999993,True
365,Route 3 from Grinsell3,32,32,0,3929.685,True
366,Route 4 from Grinsell3,38,38,0,3946.811999999999,True
367,Route 5 from Grinsell3,35,35,0,3751.093,True
368,Route 6 from Grinsell3,24,24,0,3989.3459999999995,True
369,Route 7 from Grinsell3,36,36,0,3774.527999999998,True
370,Route 8 from Grinsell3,20,20,0,3673.1129999999994,True
371,Route 9 from Grinsell3,45,45,0,3900.447999999999,True
372,Route 10 from Grinsell3,33,33,0,3943.536,True
373,Route 11 from Grinsell3,36,36,0,3624.9320000000002,True
374,Route 12 from Grinsell3,46,46,0,3922.586999999999,True
375,Route 13 from Grinsell3,32,32,0,3857.675,True
376,Route 14 from Grinsell3,28,28,0,3982.8889999999997,True
377,Route 15 from Grinsell3,32,32,0,3901.3400000000006,True
378,Route 16 from Grinsell3,30,30,0,3920.1519999999996,True
379,Route 17 from Grinsell3,16,16,0,3644.2439999999997,True
380,Route 18 from Grinsell3,24,24,0,3828.2819999999997,True
381,Route 19 from Grinsell3,43,43,0,3878.0659999999993,True
382,Route 20 from Grinsell3,25,25,0,3647.499,True
383,Route 21 from Grinsell3,12,12,0,3427.247999999999,True
384,Route 22 from Grinsell3,42,42,0,3996.778999999999,True
385,Route 23 from Grinsell3,12,12,0,3436.3279999999995,True
386,Route 24 from Grinsell3,33,33,0,3466.1159999999986,True
387,Route 25 from Grinsell3,28,28,0,3761.0240000000003,True
388,Route 26 from Grinsell3,30,30,0,3822.2419999999997,True
389,Route 27 from Grinsell3,28,28,0,3773.5319999999997,True
390,Route 28 from Grinsell3,26,26,0,3988.5279999999993,True
391,Route 29 from Grinsell3,24,24,0,3696.8819999999996,True
392,Route 30 from Grinsell3,23,23,0,3773.709,True
393,Route 31 from Grinsell3,32,32,0,3662.1499999999996,True
394,Route 32 from Grinsell3,44,44,0,3920.1519999999996,True
395,Route 33 from Grinsell3,32,32,0,3804.5179999999996,True
396,Route 34 from Grinsell3,38,38,0,3678.4679999999985,True
397,Route 35 from Grinsell3,30,30,0,3747.0499999999997,True
398,Route 36 from Grinsell3,28,28,0,3992.5799999999995,True
399,Route 37 from Grinsell3,30,30,0,3799.4439999999995,True
400,Route 38 from Grinsell3,32,32,0,3838.6759999999995,True
401,Route 39 from Grinsell3,20,20,0,3930.7999999999997,True
402,Route 40 from Grinsell3,22,22,0,3946.2159999999994,True
403,Route 41 from Grinsell3,32,32,0,3949.1,True
404,Route 42 from Grinsell3,44,44,0,3979.576999999998,True
405,Route 43 from Grinsell3,24,24,0,3975.5919999999996,True
406,Route 44 from Grinsell3,26,26,0,3976.482,True
407,Route 45 from Grinsell3,24,24,0,3979.4539999999993,True
408,Route 46 from Grinsell3,40,40,0,3983.9539999999993,True
