route_id,route_name,total_segments,segments_with_geometry,segments_without_geometry,total_length_m,will_visualize
1,Route 1 from Queens,40,40,0,3962.790000000001,True
2,Route 2 from Queens,36,36,0,3857.9579999999987,True
3,Route 3 from Queens,33,33,0,3924.078,True
4,Route 4 from Queens,40,40,0,3657.3349999999996,True
5,Route 5 from Queens,33,33,0,3954.2030000000004,True
6,Route 6 from Queens,43,43,0,3996.601,True
7,Route 7 from Queens,42,42,0,3759.7520000000004,True
8,Route 8 from Queens,41,41,0,3984.8579999999997,True
9,Route 9 from Queens,26,26,0,3169.3380000000006,True
10,Route 10 from Queens,33,33,0,3834.542,True
11,Route 11 from Queens,34,34,0,3999.5860000000007,True
12,Route 12 from Queens,41,41,0,3901.6080000000006,True
13,Route 13 from Queens,35,35,0,3765.569,True
14,Route 14 from Queens,26,26,0,3936.3740000000003,True
15,Route 15 from Queens,28,28,0,3651.342999999999,True
16,Route 16 from Queens,22,22,0,3840.5879999999993,True
17,Route 17 from Queens,36,36,0,3877.978,True
18,Route 18 from Queens,50,50,0,3900.1949999999993,True
19,Route 19 from Queens,42,42,0,3873.5400000000004,True
20,Route 20 from Queens,52,52,0,3948.6029999999982,True
21,Route 21 from Queens,36,36,0,3961.129,True
22,Route 22 from Queens,42,42,0,3984.8919999999994,True
23,Route 23 from Queens,40,40,0,3506.587,True
24,Route 24 from Queens,36,36,0,3991.615,True
25,Route 25 from Queens,57,57,0,3958.971999999998,True
26,Route 26 from Queens,46,46,0,3969.049,True
27,Route 27 from Queens,21,21,0,3473.547000000001,True
28,Route 28 from Queens,37,37,0,3950.509,True
29,Route 29 from Queens,49,49,0,3907.2159999999994,True
30,Route 30 from Queens,39,39,0,3514.8340000000003,True
31,Route 31 from Queens,42,42,0,3996.187,True
32,Route 32 from Queens,45,45,0,3783.2870000000003,True
33,Route 33 from Queens,37,37,0,3798.5679999999993,True
34,Route 34 from Queens,33,33,0,3784.1390000000006,True
35,Route 35 from Queens,39,39,0,3964.424,True
36,Route 36 from Queens,50,50,0,3941.773,True
37,Route 37 from Queens,39,39,0,3967.8179999999984,True
38,Route 38 from Queens,31,31,0,3958.5449999999996,True
39,Route 39 from Queens,49,49,0,3949.4589999999994,True
40,Route 40 from Queens,38,38,0,3970.968,True
41,Route 41 from Queens,43,43,0,3956.6140000000005,True
42,Route 42 from Queens,44,44,0,3911.3250000000007,True
43,Route 43 from Queens,34,34,0,3747.031,True
44,Route 44 from Queens,36,36,0,3915.4889999999996,True
45,Route 45 from Queens,37,37,0,3733.604,True
46,Route 46 from Queens,40,40,0,3996.7899999999995,True
47,Route 47 from Queens,42,42,0,3455.6,True
48,Route 48 from Queens,35,35,0,3872.4419999999986,True
49,Route 49 from Queens,32,32,0,3000.4100000000003,True
50,Route 50 from Queens,37,37,0,3933.228,True
51,Route 51 from Queens,43,43,0,3937.389,True
52,Route 52 from Queens,38,38,0,3833.022,True
53,Route 53 from Queens,29,29,0,3726.6080000000006,True
54,Route 54 from Queens,25,25,0,3850.894,True
55,Route 55 from Queens,38,38,0,3830.772,True
56,Route 56 from Queens,49,49,0,3930.921,True
57,Route 57 from Queens,38,38,0,3865.134000000001,True
58,Route 58 from Queens,32,32,0,3313.095999999999,True
59,Route 59 from Queens,32,32,0,3956.434000000001,True
60,Route 60 from Queens,40,40,0,3769.031,True
61,Route 61 from Queens,44,44,0,3836.536,True
62,Route 62 from Queens,43,43,0,3958.9530000000004,True
63,Route 63 from Queens,26,26,0,3367.1419999999994,True
64,Route 64 from Queens,34,34,0,3642.5829999999996,True
65,Route 65 from Queens,43,43,0,3867.5470000000005,True
66,Route 66 from Queens,48,48,0,3941.886,True
67,Route 67 from Queens,27,27,0,3608.994,True
68,Route 68 from Queens,43,43,0,3966.342,True
69,Route 69 from Queens,38,38,0,3739.517999999999,True
70,Route 70 from Queens,36,36,0,3905.328000000002,True
71,Route 71 from Queens,36,36,0,3877.892,True
72,Route 72 from Queens,41,41,0,3874.9000000000005,True
73,Route 73 from Queens,47,47,0,3985.7030000000004,True
74,Route 74 from Queens,47,47,0,3940.12,True
75,Route 75 from Queens,38,38,0,3884.236,True
76,Route 76 from Queens,35,35,0,3882.3750000000014,True
77,Route 77 from Queens,34,34,0,3670.8900000000003,True
78,Route 78 from Queens,43,43,0,3967.2749999999996,True
79,Route 79 from Queens,36,36,0,3680.0799999999995,True
80,Route 80 from Queens,36,36,0,3734.9610000000002,True
81,Route 81 from Queens,21,21,0,3939.203,True
82,Route 82 from Queens,39,39,0,3979.628,True
83,Route 83 from Queens,39,39,0,3737.325999999999,True
84,Route 84 from Queens,35,35,0,3738.1549999999997,True
85,Route 85 from Queens,34,34,0,3745.0910000000003,True
86,Route 86 from Queens,34,34,0,3994.7130000000016,True
87,Route 87 from Queens,40,40,0,3765.5379999999996,True
88,Route 88 from Queens,35,35,0,3822.6220000000003,True
89,Route 89 from Queens,26,26,0,3794.0759999999996,True
90,Route 90 from Queens,28,28,0,3774.8299999999995,True
91,Route 91 from Queens,39,39,0,3851.685,True
92,Route 92 from Queens,36,36,0,3801.9079999999994,True
93,Route 93 from Queens,42,42,0,3985.3360000000002,True
