Edge_ID,Street_Name,Start_Node,End_Node,Length_m,Total_Appearances,Cycle_1,Cycle_2,Cycle_3,Cycle_4,Cycle_5,Cycle_6,Cycle_7,Cycle_8,Cycle_9,Cycle_10,Cycle_11,Cycle_12,Cycle_13,Cycle_14,Cycle_15,Cycle_16,Cycle_17,Cycle_18,Cycle_19,Cycle_20,Cycle_21,Cycle_22,Cycle_23,Cycle_24,Cycle_25,Cycle_26,Cycle_27,Cycle_28,Cycle_29,Cycle_30
1840020315-1840020321,Grinsell Street,1840020315,1840020321,237.3,41,2,0,2,2,0,0,1,2,2,0,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,0,2,0
1840020308-1840020315,March Street,1840020308,1840020315,335.1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1840020314-1840020315,Grinsell Street,1840020314,1840020315,33.9,41,2,0,2,2,0,0,1,2,2,0,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,0,2,0
1840020320-1840020321,Grinsell Street,1840020320,1840020321,50.3,19,2,0,0,0,2,2,1,0,0,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0,2
1840020321-2692226738,Kotara Place,1840020321,2692226738,56.7,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1840020320-2692226738,Kotara Place,1840020320,2692226738,55.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1840020320-1843843609,Grinsell Street,1840020320,1843843609,232.5,18,1,0,0,0,2,2,1,0,0,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0,2
1843843609-1843843618,Grinsell Street,1843843609,1843843618,272.4,19,2,0,0,0,2,2,1,0,0,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0,2
276839863-1843843618,Grinsell Street,276839863,1843843618,63.0,19,2,0,0,0,2,2,1,0,0,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0,2
276839863-1869447615,Carnley Avenue,276839863,1869447615,649.8,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1869447615-3706568807,Unnamed Road,1869447615,3706568807,49.5,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3706568807-5859330079,Unnamed Road,3706568807,5859330079,53.1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1843843609-2692226674,Gregory Parade,1843843609,2692226674,26.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2692226442-2692226674,Kotara Place,2692226442,2692226674,83.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2692226442-2692226738,Kotara Place,2692226442,2692226738,169.9,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2692226442-4091822188,Kotara Place,2692226442,4091822188,28.6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2692226442-2692226633,Kotara Place,2692226442,2692226633,77.2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2692226436-2692226633,Gregory Parade,2692226436,2692226633,302.9,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2692226436-6577175956,Gregory Parade,2692226436,6577175956,25.1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2692226530-6577175956,Gregory Parade,2692226530,6577175956,85.4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2692226372-2692226530,Gregory Parade,2692226372,2692226530,297.1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2692226633-2692226674,Gregory Parade,2692226633,2692226674,47.8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6577175955-6577175956,Wallace Street,6577175955,6577175956,73.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2692226436-2692226462,Wallace Street,2692226436,2692226462,130.4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2692226530-2692226696,Lynette Place,2692226530,2692226696,66.4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1840020291-1840020314,Meredith Street,1840020291,1840020314,301.9,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1840020292-1840020314,Grinsell Street,1840020292,1840020314,438.8,39,0,0,2,2,0,0,1,2,2,0,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,0,2,0
276839881-1840020292,Orchardtown Road,276839881,1840020292,83.1,16,0,0,2,1,0,0,1,1,2,0,2,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
276839881-6144518511,Orchardtown Road,276839881,6144518511,50.3,17,0,0,3,1,0,0,1,1,2,0,2,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
276839882-6144518511,Orchardtown Road,276839882,6144518511,8.8,16,0,0,2,1,0,0,1,1,2,0,2,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
276839882-6144518497,Orchardtown Road,276839882,6144518497,72.7,17,0,0,2,2,0,0,1,1,2,0,2,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
276839898-6144518497,Fay Avenue,276839898,6144518497,208.6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276839898-1840020257,Aldyth Street,276839898,1840020257,55.1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276839898-1840020278,Aldyth Street,276839898,1840020278,153.8,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1840020278-1840020291,Aldyth Street,1840020278,1840020291,93.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
