road_name,edge_id,length_meters,avg_deviation,max_deviation
Kings Road_1,362011394->1839861581,998.9435273274055,0,0
Carnley Avenue_5,1869447615->2643520648,776.4588721682821,0,0
Northcott Drive_7,903719325->2692248523,507.93840891396087,0,0
"['Drew Street', 'Bryant Street', 'Richard Street', 'Hope Street']_2",272223174->272223174,474.7354901324784,0,0
Grinsell Street_1,1840020292->1840020314,439.34912049331393,0,0
"['Womboin Road', 'Karoola Road']_1",1843667257->1843667295,395.5152857186082,0,0
Penman Street_1,1840020256->1843667515,384.94221705005435,0,0
Kings Road_2,362011394->1843667533,377.2779366951248,0,0
Park Avenue_6,176399746->8534733867,375.08886784288626,0,0
Northcott Drive_11,1926352191->7095701987,367.2454221213712,0,0
Lockyer Street_1,272221403->272223115,339.81729131851114,0,0
Narara Road_1,286119087->286119679,335.4742280175779,0,0
Astbury Street_1,285923568->1843667320,333.0560884213697,0,0
"['Gow Street', 'Fletcher Street', 'Dibbs Street']_1",419517731->8528284071,320.2872865774485,0,0
Fairfield Avenue_1,284966224->1843667521,319.4074763413965,0,0
"['Mackie Avenue', 'Sketchley Parade']_1",286118961->6137125727,316.6166681489031,0,0
"['Perth Road', 'Bavin Street']_1",367125594->1862834363,313.8673610296907,0,0
"['Newton Street', 'Cameron Street']_1",286119006->1839861575,311.29032746031294,0,0
Fletcher Street_3,285732058->285732114,302.52936882385745,0,0
Meredith Street_2,1840020291->1840020314,301.83067140999066,0,0
Park Avenue_13,249343640->903719337,301.56157789019966,0,0
Morgan Street_3,286119016->5494239660,300.22896829318586,0,0
Park Avenue_22,903719305->2659075988,297.12075385022365,0,0
Fairfield Avenue_2,1840020267->1843667521,294.7999689763379,0,0
Ann Parade_1,276839791->12446969783,291.8745646455238,0,0
Gosford Road_4,286118983->1839861619,290.00683828504594,0,0
Northcott Drive_9,1840020256->2659023478,289.5561536548278,0,0
"['Russell Road', 'Jellicoe Parade']_1",285923598->1839861589,285.7315869373102,0,0
Sturdee Street_1,2063026231->2063026286,285.45060921853786,0,0
Carnley Avenue_3,276839790->2643520648,283.7874822354037,20.677509860747477,24.235560642534224
Moira Street_1,285732124->285732127,283.0918318498105,0,0
Womboin Road_1,285923134->285923307,275.43450805111047,0,0
Turton Road_4,359020680->1839861548,268.72035966476443,0,0
Brunker Road_6,272224404->286119551,267.43683511690335,0,0
Turton Road_1,246010907->1843582800,265.7698127117741,0,0
Bridges Road_25,2608920687->2676461902,265.2043240425268,28.334154980808915,33.948266203854445
Saint James Road_7,286118933->1843667476,261.6509137995598,0,0
Bryant Street_3,285732082->286119016,258.88450069756095,0,0
Mackie Avenue_1,286119052->6137125727,258.1123507419871,0,0
Brunker Road_2,272221403->285907336,253.85090505703872,0,0
Hawkins Street_2,1843667315->1843667358,252.24529508390472,0,0
Durham Road_8,1843667257->1843667280,251.92754954746792,0,0
"['Ninth Street', 'Eighth Street']_1",285732209->1840020284,245.2282602592526,0,0
Lambton Road_19,367125594->367125595,244.97113859705837,0,0
Lambton Road_11,286119577->1839861576,244.64500737574502,0,0
Wells Street_1,285732117->285732118,242.14828480468395,0,0
Bailey Street_3,285732113->285732226,241.8322665039116,0,0
Railway Road_5,285923587->1843667315,235.605199743909,0,0
Lookout Road_2,285923501->2678502918,235.50708690265645,26.66439782808728,52.70850544650117
Turton Road_2,246010907->1839861547,232.7767509706799,0,0
Hobart Road_11,285923652->1843667352,232.64343509659693,0,0
Thalaba Road_1,285923172->1843667393,232.451828800967,0,0
Turton Road_5,1839861538->1839861548,230.65915118710006,0,0
"['Birdwood Street', 'Allan Street']_1",276839791->1840020279,229.22798229970675,0,0
Regent Street_2,285923657->1843667319,226.22651937831927,0,0
Teralba Road_6,355013052->1436939673,226.18514005702292,0,0
Woodlands Avenue_2,1840020278->6144518511,225.42502623981397,0,0
Regent Street_1,285923657->1843667384,222.5806508413753,0,0
Teralba Road_8,769203720->769203760,222.3481620311112,0,0
Wallarah Road_3,285923134->1843667338,222.3178884925129,0,0
Thalaba Road_2,285923172->1843667382,221.81614632585317,0,0
Meredith Street_1,276839881->1840020291,220.38717957692808,0,0
Gwydir Road_1,285923661->285923663,219.14974764984206,0,0
Glossop Street_1,1839861589->1843667427,217.8484481807809,0,0
Carnley Avenue_4,276839790->2676461913,217.20038254206295,20.15366681804321,30.37975707262879
Lambton Road_5,285923655->2676303869,215.9413154454903,0,0
Hobart Road_8,285923171->1843667366,215.92051234988165,0,0
Meadow Road_1,286119541->2063026294,210.42391199506704,0,0
Fay Avenue_2,276839898->6144518497,208.95847269918562,0,0
Northcott Drive_4,903719288->1453639332,208.24382949059608,0,0
Perth Road_1,286119531->1862834363,207.44911908716028,0,0
Collaroy Road_1,285923726->445402383,207.30189489946005,0,0
Northcott Drive_5,903719305->1453639318,205.31785443471293,0,0
Kullaiba Road_10,3393432760->4599113412,204.25975232392034,0,0
Court Street_1,355013031->1843667522,204.1992382310745,0,0
Lambton Road_8,285923801->7013608458,203.31782323992596,15.335833858640926,17.154955733982742
Date Street_1,174779068->355013052,202.60063488684057,0,0
"['Australia Road', 'Tara Road']_1",287003447->1967667746,202.52218510783018,0,0
Bradford Close_1,1926352191->2519676283,196.0394544522276,0,0
Hitchcock Avenue_1,285923198->367128370,195.8288506119272,0,0
Allan Street_1,1840020279->1840020292,193.3555821037343,0,0
Bridges Road_24,2608920685->2608920687,190.19243414480022,23.353476289002373,26.664002188349826
Mowbray Crescent_1,285732212->285732216,188.59565994586902,0,0
Poitrel Street_1,286118915->1843667460,186.40271787585783,0,0
Womboin Road_2,285923134->1843667295,182.18855011276642,0,0
Young Road_6,285923082->285923307,182.031611716717,0,0
Sketchley Parade_3,286119396->2063026250,180.536527689285,0,0
Lambton Road_9,285923804->6134998010,175.4689800954247,15.587453816183919,23.794985365515373
Woodlands Avenue_1,276839882->1840020279,175.31269572822137,0,0
Lille Street_1,286119396->286119557,175.10603754545585,0,0
Saint Georges Road_1,1843667460->1843667476,175.0707358754175,0,0
Jefferson Street_1,285732233->285732235,173.67088953093221,0,0
Park Avenue_18,355007422->12038672027,173.34106579128303,0,0
Florida Avenue_1,1843667346->1843667368,172.56047012372156,0,0
Fourth Street_1,285732060->285732232,172.37061354168716,0,0
Orlando Road_1,285923063->285923339,171.037370754045,0,0
"['Brisbane Water Road', 'Dibbs Street']_1",285732109->285732111,167.9000885108288,0,0
Bourke Street_2,285732233->1436939676,166.47654765045186,0,0
Date Street_3,285732077->285732235,165.71429819850923,0,0
Kullaiba Road_5,1453639318->2658893219,163.91587974618668,0,0
"['Hobart Road', 'Howe Street']_1",285922506->1843667280,163.631449370083,0,0
Brunker Road_1,272221403->272225716,163.43852150661547,0,0
Henderson Street_1,285923183->367128371,162.664524599246,0,0
Church Street_1,285923025->285923055,162.34547003566348,0,0
Fay Avenue_3,1840020273->12446969783,161.60945068042327,0,0
Wallarah Road_5,285923171->1843667338,161.58811519234874,0,0
Kullaiba Road_2,174778963->2658893207,161.3997762074457,0,0
Bryant Street_2,272223115->1848248256,161.28737998906362,0,0
Lambton Road_29,1839861571->1839861575,160.94490166270847,0,0
Lambton Road_27,1839861568->1839861574,159.79148729841864,0,0
Powell Street_1,285732107->285732205,158.48512003118927,0,0
Moira Street_2,285732127->1840020316,158.36371923149397,0,0
Lambton Road_34,2676303890->7013608463,156.50232328181667,0,0
Durham Road_6,285923063->285923102,156.17482387741248,0,0
Collaroy Road_4,6027609580->6136668216,155.81627301175996,0,0
Collaroy Road_3,6027609579->6136668216,154.89883772667423,0,0
Turton Road_6,1839861547->1839861553,154.72991538349916,0,0
Aldyth Street_2,276839898->1840020278,153.37704444375862,0,0
Clarence Road_1,285923664->285923671,151.8587109664333,0,0
Fletcher Street_7,285732129->285732209,151.03042412996615,0,0
Westcourt Road_3,285923660->285923661,150.7421166183435,0,0
Park Avenue_9,176399846->1843667522,150.06966464610306,0,0
Turton Road_7,1839861553->1839861560,148.0276224419719,0,0
Park Avenue_23,903719322->2659075988,146.72726258171872,0,0
Park Avenue_12,249343640->284966533,146.30226277268167,0,0
Lang Road_1,286119006->1839861571,143.62731512172854,0,0
